Scenario #1:
1 6
1 14
1 16
2 3
2 12
2 18
3 4
3 7
3 10
3 13
4 1
4 11
4 21
4 22
4 23
5 0
5 2
5 8
5 17
5 19
6 9
6 20
7 15
8 5
Scenario #2:
1 6
1 40
2 23
2 42
2 46
3 4
3 5
3 19
3 28
3 34
4 18
4 36
5 0
5 10
5 22
5 37
5 38
6 2
6 24
6 30
6 39
6 43
6 49
7 45
8 1
8 20
8 29
8 31
9 7
9 13
9 25
9 26
9 33
9 35
9 48
10 14
10 16
10 17
10 21
10 41
11 12
11 32
12 3
12 15
12 44
13 8
13 9
13 11
13 47
14 27
Scenario #3:
1 8
1 14
2 11
2 17
2 23
2 24
3 1
3 21
3 25
4 2
4 6
4 20
5 5
5 7
5 15
5 19
6 3
6 10
6 12
6 13
6 22
7 0
7 4
7 9
7 16
7 18
Scenario #4:
1 2
1 4
1 6
2 1
2 3
2 5
3 0
Scenario #5:
1 1
1 6
1 7
2 0
2 2
2 3
2 4
2 8
3 5
Scenario #6:
1 5
1 7
1 8
2 1
2 2
2 13
3 0
3 6
3 12
4 3
4 9
4 10
5 4
5 11
Scenario #7:
1 3
1 10
2 4
2 7
2 17
3 0
3 13
3 20
4 1
4 6
4 12
4 19
5 5
5 9
5 11
5 15
5 16
6 2
6 14
6 18
7 8
Scenario #8:
1 1
1 2
1 3
1 11
2 4
2 5
2 6
2 10
3 7
3 8
3 9
4 0
Scenario #9:
1 0
1 12
1 25
2 27
2 28
2 32
3 3
3 26
3 36
4 9
4 15
4 39
5 16
5 35
5 38
6 6
6 14
6 19
6 30
6 44
7 8
7 22
7 33
7 37
7 40
8 7
8 17
8 23
9 2
9 10
9 11
9 29
9 34
9 41
10 1
10 4
10 13
10 21
10 31
10 45
11 5
11 18
11 20
11 42
11 43
12 24
Scenario #10:
1 24
1 27
1 34
2 1
2 2
2 6
2 7
2 15
2 22
3 9
3 17
3 29
4 3
4 8
4 28
4 30
4 31
5 12
5 19
5 25
6 4
6 18
6 20
6 26
6 35
6 36
7 5
7 10
7 13
7 14
7 32
8 11
8 16
8 21
8 23
8 33
9 0
Scenario #11:
1 3
1 4
1 6
1 13
2 10
2 11
2 19
3 0
3 5
3 9
3 16
4 1
4 8
4 15
4 21
5 7
5 14
5 17
5 18
5 20
6 2
6 12
Scenario #12:
1 12
1 43
1 47
2 16
2 19
2 21
2 28
2 29
2 41
2 44
3 7
3 20
3 33
3 39
3 40
4 31
4 32
4 35
4 37
5 10
5 13
5 23
5 27
6 5
6 9
6 15
6 34
6 38
6 42
7 0
7 3
7 4
7 6
7 14
7 46
8 17
8 18
8 36
9 11
9 26
9 30
9 45
10 1
10 2
10 24
11 8
11 22
11 25
Scenario #13:
1 0
1 1
1 7
1 16
2 9
2 11
2 17
2 21
3 4
3 10
4 2
4 14
5 5
5 6
5 8
5 15
6 19
